fiscal_year,document_type,local_file,legistar_matter_number,legistar_url,adoption_date,status,notes,adopting_event_id,adopting_body,adopting_action,adopting_datetime
2008,schedule_c,source/FY08/schedule_c_rvs_2008.pdf,Res 1090-2007,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=447681&GUID=6E45CB4C-554E-4CCD-9B7D-05325C990AB8,2007-10-17,confirmed,Per FY2008 pilot; committee report/hearing/press-release attachments present locally; no separate Schedule C schedule was ever a Legistar attachment.,7634,City Council,"Approved, by Council",2007-10-17T18:30:00
2008,capital_a,source/FY08/Res0910-2007-CapitalA-Press-Release.doc,Res 0910-2007,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=38974&GUID=DCF0B66A-F4B4-426E-B8AC-17A46D384BC3,2007-06-15,confirmed,Local files are cover materials (press release + hearing transcripts); no §254 schedule attachment on Legistar.,7434,City Council,"Approved, by Council",2007-06-15T13:30:00
2008,capital_b,,Res 0911-2007,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=38975&GUID=2517E038-365C-44CB-9EF2-1B90286D22D7,2007-06-15,not_located,Matter confirmed; no local file downloaded.,,,,
2008,transparency_reso_01,,Res 1310-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=40585&GUID=8736844C-B466-4947-8400-7D13B8FC2C05,2008-03-12,not_located,Matter confirmed; no local file.,,,,
2008,transparency_reso_02,,Res 1437-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=41085&GUID=F4ECC3FA-7164-42B5-9B71-F453A71F7F72,2008-05-28,not_located,Matter confirmed; no local file.,,,,
2008,transparency_reso_03,,Res 1503-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=41377&GUID=D4DF1CC1-552F-42DD-B9F3-A60864F93AE3,2008-06-29,not_located,Matter confirmed; no local file.,,,,
2009,schedule_c,source/FY09/fy09-Schedule-C-final.pdf,Res 1585-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=41463&GUID=7C9F99BE-DB59-4EBC-9434-0C1010881E09,2008-08-14,candidate,anchor (earliest in sequence); no separate Schedule C resolution after FY2008. Same matter as Transparency Reso 01.,,,,
2009,capital_a,,Res 1512-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=41345&GUID=141861FE-0DC8-4C33-A7BA-E6F2A16CEB4A,2008-06-29,not_located,Matter confirmed; no local file.,,,,
2009,capital_b,source/FY09/fy09-adopt08_capreso.pdf,Res 1513-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=41346&GUID=6D720891-78CF-45BB-8F22-550C045C51F1,2008-06-29,confirmed,,8362,City Council,"Approved, by Council",2008-06-29T21:00:00
2009,transparency_reso_01,source/FY09/transparency-resolutions/Transparency-Reso-01-2008-08-14.pdf,Res 1585-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=41463&GUID=7C9F99BE-DB59-4EBC-9434-0C1010881E09,2008-08-14,confirmed,Same matter as FY2009 Schedule C anchor.,8389,City Council,"Approved, by Council",2008-08-14T18:30:00
2009,transparency_reso_02,source/FY09/transparency-resolutions/Transparency-Reso-02-2008-09-24.pdf,Res 1624-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=41720&GUID=87F74AA0-65B0-454D-A12C-FDC8821512DA,2008-09-24,confirmed,,8450,City Council,"Approved, by Council",2008-09-24T18:30:00
2009,transparency_reso_03,source/FY09/transparency-resolutions/Transparency-Reso-03-2008-11-19.pdf,Res 1707-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=41912&GUID=FD537A7E-0AEC-457D-9C58-218DA83565FC,2008-11-19,confirmed,Renamed from fy09-report_committee_finance.pdf.,8595,City Council,"Approved, by Council",2008-11-19T18:30:00
2009,transparency_reso_04,source/FY09/transparency-resolutions/Transparency-Reso-04-2008-12-18.pdf,Res 1740-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=41998&GUID=2C0D15EA-B364-4005-B168-3A250C2A7FEF,2008-12-18,confirmed,Renamed from fy09-Scan001.pdf.,8674,City Council,"Approved, by Council",2008-12-18T18:30:00
2009,transparency_reso_05,source/FY09/transparency-resolutions/Transparency-Reso-05-2009-02-11.pdf,Res 1818-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=42323&GUID=908CD458-0443-4521-8E49-88347CCD201C,2009-02-11,confirmed,,8758,City Council,"Approved, by Council",2009-02-11T18:30:00
2009,transparency_reso_06,source/FY09/transparency-resolutions/Transparency-Reso-06-2009-04-02.pdf,Res 1896-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=42644&GUID=557DC6AA-6E15-4FAF-BF8D-FA3923D5348A,2009-04-02,confirmed,,8913,City Council,"Approved, by Council",2009-04-02T18:30:00
2009,transparency_reso_07,source/FY09/transparency-resolutions/Transparency-Reso-07-2009-04-22.pdf,Res 1934-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=42729&GUID=090C22C3-7D61-4CB3-ACDB-3A372E68542C,2009-04-22,confirmed,Omnibus (covers FY2008 + FY2009).,8958,City Council,"Approved, by Council",2009-04-22T18:30:00
2009,transparency_reso_08,source/FY09/transparency-resolutions/Transparency-Reso-08-2009-05-20.pdf,Res 1985-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=42996&GUID=C0EF6C0D-90D7-4DA0-A1BD-EA63B35F7FCA,2009-05-20,confirmed,,9058,City Council,"Approved, by Council",2009-05-20T18:30:00
2010,schedule_c,source/FY10/fy_2010_sched_c_final.pdf,Res 2033-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=43180&GUID=F67CFFBF-94D0-4B08-87E3-8FCAA76A6C75,2009-06-19,candidate,anchor (earliest in sequence). Same matter as Transparency Reso 02.,,,,
2010,capital_a,,Res 2036-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=43183&GUID=90C13620-E10B-4B5D-AE91-1A5A9F32AAF0,2009-06-19,not_located,Matter confirmed; no local file.,,,,
2010,capital_b,source/FY10/fy_2010_changes_exec_budget_top.pdf,Res 2037-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=43184&GUID=0EE3EBDB-CBB6-4169-8933-025466A88B8E,2009-06-19,confirmed,,9138,City Council,"Approved, by Council",2009-06-19T14:30:00
2010,transparency_reso,,Res 2201-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=43709&GUID=08D44EB8-CB73-418A-80AF-B62374C86F13,2009-09-30,not_located,Matter confirmed via get_bill (was a council.nyc.gov dead link); no local file. Sits between Transparency Reso 04 and 05.,,,,
2010,transparency_reso_01,source/FY10/transparency-resolutions/Transparency-Reso-01-2009-03-11.pdf,Res 1854-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=42560&GUID=33080384-CE1C-48A7-9DCA-5A988992EEA5,2009-03-11,confirmed,,8864,City Council,"Approved, by Council",2009-03-11T18:30:00
2010,transparency_reso_02,source/FY10/transparency-resolutions/Transparency-Reso-02-2009-06-19.pdf,Res 2033-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=43180&GUID=F67CFFBF-94D0-4B08-87E3-8FCAA76A6C75,2009-06-19,confirmed,Same matter as FY2010 Schedule C anchor.,9138,City Council,"Approved, by Council",2009-06-19T18:30:00
2010,transparency_reso_03,source/FY10/transparency-resolutions/Transparency-Reso-03-2009-06-30.pdf,Res 2061-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=43229&GUID=2843987E-E2FF-4C3E-B8FF-FE49D0D01266,2009-06-30,confirmed,,9158,City Council,"Approved, by Council",2009-06-30T18:30:00
2010,transparency_reso_04,source/FY10/transparency-resolutions/Transparency-Reso-04-2009-08-20.pdf,Res 2147-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=43522&GUID=042C66F0-4A5F-4498-9EAC-C88F234AF49F,2009-08-20,confirmed,,9207,City Council,"Approved, by Council",2009-08-20T18:30:00
2010,transparency_reso_05,source/FY10/transparency-resolutions/Transparency-Reso-05-2009-10-28.pdf,Res 2240-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=43845&GUID=3215C320-42F2-4286-86EF-1AE1FC7B62FA,2009-10-28,confirmed,,9364,City Council,"Approved, by Council",2009-10-28T18:30:00
2010,transparency_reso_06,source/FY10/transparency-resolutions/Transparency-Reso-06-2009-11-16.pdf,Res 2262-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=43935&GUID=744C19F6-DBCF-4257-8722-0754AFBEDE2D,2009-11-16,confirmed,,9429,City Council,"Approved, by Council",2009-11-16T18:30:00
2010,transparency_reso_07,source/FY10/transparency-resolutions/Transparency-Reso-07-2009-12-21.pdf,Res 2303-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=44115&GUID=894CCEA7-51C8-45FF-90CD-8392A09E1D95,2009-12-21,confirmed,,9525,City Council,"Approved, by Council",2009-12-21T18:30:00
2010,transparency_reso_08,source/FY10/transparency-resolutions/Transparency-Reso-08-2010-03-03.pdf,Res 0058-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=44450&GUID=1EB5A7E2-088A-437E-98FA-E48EE4DE67F9,2010-03-03,confirmed,,9695,City Council,"Approved, by Council",2010-03-03T18:30:00
2010,transparency_reso_09,source/FY10/transparency-resolutions/Transparency-Reso-09-2010-03-25.pdf,Res 0127-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=44579&GUID=9AA5C81B-8BD7-4CB5-A722-5E175405686A,2010-03-25,confirmed,,9712,City Council,"Approved, by Council",2010-03-25T18:30:00
2010,transparency_reso_10,source/FY10/transparency-resolutions/Transparency-Reso-10-2010-04-29.pdf,Res 0206-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=44924&GUID=943106E1-3C36-44E0-A5DE-D099996455E6,2010-04-29,confirmed,,9824,City Council,"Approved, by Council",2010-04-29T18:30:00
2010,transparency_reso_11,source/FY10/transparency-resolutions/Transparency-Reso-11-2010-05-25.pdf,Res 0246-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=45114&GUID=E6591906-E663-4109-95EF-573910CD7739,2010-05-25,confirmed,,9913,City Council,"Approved, by Council",2010-05-25T18:30:00
2010,transparency_reso_12,source/FY10/transparency-resolutions/Transparency-Reso-12-2010-06-29.pdf,Res 0317-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=45408&GUID=6A1FF6D6-84AE-4032-90B3-1EE3E3B8F470,2010-06-29,confirmed,,10004,City Council,"Approved, by Council",2010-06-29T18:30:00
2011,schedule_c,source/FY11/fy2011-C2011.pdf,Res 0371-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=45476&GUID=433AA845-DB6B-4D65-AA6A-D70339A0A032,2010-07-29,candidate,anchor (earliest in sequence). Same matter as Transparency Reso 01.,,,,
2011,capital_a,source/FY11/fy2011-FY2011-Section-254-Changes.pdf,Res 0325-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=45401&GUID=C07E859D-8525-44B4-88D1-7FB5108AA870,2010-06-29,confirmed,,10004,City Council,"Approved, by Council",2010-06-29T14:30:00
2011,capital_b,source/FY11/fy2011-fy11_changes_executive_capital_budget_adopted_by_nycc.pdf,Res 0326-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=45402&GUID=2CFF38D3-C879-46FA-8B86-FBF8DD59A0B4,2010-06-29,confirmed,,10004,City Council,"Approved, by Council",2010-06-29T14:30:00
2011,transparency_reso_01,source/FY11/transparency-resolutions/Transparency-Reso-01-2010-07-29.pdf,Res 0371-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=45476&GUID=433AA845-DB6B-4D65-AA6A-D70339A0A032,2010-07-29,confirmed,Same matter as FY2011 Schedule C anchor.,10029,City Council,"Approved, by Council",2010-07-29T18:30:00
2011,transparency_reso_02,source/FY11/transparency-resolutions/Transparency-Reso-02-2010-08-25.pdf,Res 0421-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=45623&GUID=C4998827-2AFF-4A6E-B728-57FDCD04E617,2010-08-25,confirmed,,10045,City Council,"Approved, by Council",2010-08-25T18:30:00
