raw_initiative,initiative_canonical,tier,confidence,note
Access Health Initiative,Access Health,editorial,approved,round2:suffix-initiative
Access Health NYC,Access Health,editorial,approved,round2:nyc-prefix
Access to Crisis and Emergency Services,Access to Crisis and Emergency Services (ACES),editorial,approved,round2:paren-acronym
Access to Critical Services for Older Adults (formerly Access to Critical Services for Seniors),Access to Critical Services for Older Adults,editorial,approved,round2:formerly-annotation
Adult Literacy Services,Adult Literacy Services Initiative,editorial,approved,round2:suffix-initiative
The After-Three Corporation (TASC),After -Three Corporation,editorial,approved,round2:wording
Alternatives to Incarceration (ATI) Programs,Alternatives to Incarceration (ATI),editorial,approved,round2:ati-acronym
Alternatives to Incarceration (ATIs),Alternatives to Incarceration (ATI),editorial,approved,round2:ati-acronym
Alternatives to Incarceration (ATI’s),Alternatives to Incarceration (ATI),editorial,approved,round2:ati-acronym
"Alternatives to Incarceration and Reentry Programs (Formerly Alternatives to Incarceration, Discharge Planning, and Diversion Programs)",Alternatives to Incarceration and Reentry Programs,editorial,approved,round2:formerly-annotation
Anti Eviction and SRO Legal Services,Anti-Eviction and SRO Legal Services,review,review,ampersand-vs-and
Anti-Eviction & SRO Legal Services,Anti-Eviction and SRO Legal Services,review,review,ampersand-vs-and
Anti-Gun Violence - Community Based Programs,Anti-Gun Violence - Community Based Programs,review,review,hyphenation
Anti-Gun Violence - Community-Based Programs,Anti-Gun Violence - Community Based Programs,review,review,hyphenation
"Anti-Gun Violence - Violence Prevention, Conflict Mediation and Youth Development","Anti-Gun Violence - Violence Prevention, Conflict Mediation, and Youth Development",review,review,wording
"Anti-Gun Violence - Violence Prevention, Conflict Mediation, and Youth Development","Anti-Gun Violence - Violence Prevention, Conflict Mediation, and Youth Development",review,review,wording
*Asthma Control Program,Asthma Control Program,mechanical,high,leading-asterisk
Asthma Control Program,Asthma Control Program,mechanical,high,leading-asterisk
Big Brothers Big Sisters of New York City,Big Brothers Big Sisters of New York City,review,review,wording
Big Brothers and Big Sisters of New York City,Big Brothers Big Sisters of New York City,review,review,wording
*Cancer Initiatives,Cancer Initiatives,mechanical,high,leading-asterisk
Cancer Initiatives,Cancer Initiatives,mechanical,high,leading-asterisk
Care Workers For Our Future,Care Workers for Our Future,mechanical,high,casing
Care Workers for Our Future,Care Workers for Our Future,mechanical,high,casing
Chess in the Schools,Chess in the Schools,review,review,hyphenation
"Chess in the Schools, Inc.",Chess in the Schools,review,review,hyphenation
"Chess-in-the-Schools, Inc.",Chess in the Schools,review,review,hyphenation
*Child Health Clinics,Child Health Clinics,mechanical,high,leading-asterisk
Child Health Clinics,Child Health Clinics,mechanical,high,leading-asterisk
Children Under Five Initiative,Children Under Five,editorial,approved,round2:suffix-initiative
City's First Readers,City's First Readers,mechanical,high,curly-apostrophe
City’s First Readers,City's First Readers,mechanical,high,curly-apostrophe
CityMeals on Wheels,CityMeals on Wheels,mechanical,high,casing
Citymeals on Wheels,CityMeals on Wheels,mechanical,high,casing
